-450.714,648.003,-26.1766
540,-1.18103,5.97707,0.99096
541,-19.2157,50.1201,2.21325
542,-13.9694,50.2561,1.65087
543,-2.40624,8.88845,0.92772
544,-2.44458,10.3128,1.25075
545,-10.6895,33.0716,3.07295
546,-11.5262,50.6249,2.53041
547,-2.85276,10.2094,1.64074
548,-2.41237,10.246,1.90059
549,-53.0283,135.059,4.12963
550,-2.85891,10.187,2.07069
551,-2.02473,10.4662,2.19086
552,-17.3822,75.3805,4.03562
553,-7.53264,23.8233,1.43183
554,-2.9328,12.0423,2.15464
555,-52.9976,134.945,7.46938
556,-23.4189,82.995,4.64475
557,-3.36793,10.3095,2.44121
558,-9.33102,41.3594,0.72974
559,-23.7564,84.1597,6.66738
560,-10.626,32.8831,1.54252
561,-9.56007,35.0116,1.26647
562,-3.48433,10.6236,2.64193
563,-11.4671,50.4044,1.36991
564,-10.3096,31.9623,11.6104
565,-10.6679,33.0059,2.3128
566,-1.16944,5.96896,0.99093
567,-18.9492,49.9337,2.21272
568,-9.83278,36.3834,2.0395
569,-2.38017,8.91337,0.92776
570,-2.40345,10.3099,1.25072
571,-45.5633,136.431,3.30873
572,-11.3368,50.5873,2.53023
573,-2.95192,10.5982,1.58161
574,-2.39442,10.2593,1.90061
575,-51.6244,132.86,4.10428
576,-23.1958,83.2824,2.69524
577,-2.81952,10.194,2.07069
578,-1.99518,10.4714,2.19085
579,-45.5732,136.432,6.59875
580,-7.42548,23.7915,1.43171
581,-2.89341,12.0493,2.15464
582,-52.4687,134.998,7.45923
583,-24.946,89.3967,4.77903
584,-9.21229,41.4921,0.71996
585,-22.875,82.1019,6.57259
586,-9.43841,35.0127,1.26641
587,-11.3374,50.5897,1.36024
588,-10.3415,32.3727,11.7213
589,-16.0319,49.1701,1.94963
590,-1.14975,5.97244,0.99093
591,-18.6827,49.7471,2.22219
592,-9.69607,36.3568,2.03938
593,-2.36047,8.91685,0.92776
594,-2.37739,10.3348,1.25076
595,-45.0825,136.526,3.30869
596,-11.163,50.6383,2.53025
597,-2.95774,10.6886,1.5618
598,-2.35503,10.2663,1.9006
599,-49.9989,130.039,4.0875
600,-22.9508,83.4476,2.69546
